sim,surplus_pnl_gbp
164,25658375.263619
165,-42245915.540580
166,5484696.897027
167,5360793.106205
168,-18604624.616182
169,-8296282.517682
170,1214785.089318
171,-11916731.274457
172,-31027247.656694
173,74373590.736835
174,-23521190.353141
175,4321889.217701
176,16022928.824883
177,19916064.495836
178,11180286.933791
179,2122092.262121
180,4364622.456826
181,-34320451.000525
182,-24255316.900820
183,-15347539.510446
184,-37400614.273030
185,23811620.191595
186,69273732.592414
187,56807737.435685
188,-9570564.244966
189,-5972794.892900
190,-10898592.719300
191,28805876.881730
192,-23500081.976017
193,-21441300.057324
194,4616434.480649
195,-3041835.965530
196,5283048.945752
197,-7287996.154559
198,19178742.665676
199,-1233497.098802
200,-42581303.445667
201,10539662.738394
202,-8310219.289548
203,-27166776.669961
204,-880818.305060
205,-34718380.961875
206,11601466.731692
207,41076862.146705
208,-2359686.196486
209,-14156297.446421
210,-9384525.123992
211,9931438.799361
212,-25154046.959649
213,17274481.062456
214,-8032009.885556
215,-14271794.162991
216,8831506.977270
217,79566257.807871
218,26809876.519637
219,37711826.883114
220,5847792.893955
221,45576554.527914
222,58644203.991722
223,14194040.513780
224,-23729545.784532
225,18213444.215896
226,-40624607.715852
227,-33305310.680011
228,-3277709.210069
229,9605394.046298
230,-11354342.246487
231,28103966.579590
232,-6017089.308032
233,12009820.193108
234,35835822.831591
235,-27177427.165323
236,-27243351.130777
237,18564541.387486
238,-20820970.982180
239,-38453504.111421
240,-18204474.082445
241,-9755865.957779
242,-6989946.101465
243,-3000705.320319
244,-24949507.370541
245,-11104140.680530
246,-24533223.590477
247,-3325510.076362
248,1467120.079762
249,-34348109.010928
250,-21625031.136956
251,21601360.857937
252,37729344.647606
253,19445949.987233
254,100230.016095
255,-22502695.006037
256,-6657405.793702
257,12281837.902558
258,-36623691.845665
259,-50918834.286599
260,-11891047.223056
261,32369823.889672
262,-12603046.529903
263,-11554632.260754
264,-27109697.792429
265,6123674.351382
266,-33231665.181848
267,-9297668.873457
268,-17103142.033267
269,-10299739.060657
270,24382991.649388
271,-52513366.059106
272,-3289193.562768
273,-9077063.453336
274,15538326.173205
275,-4834212.184385
276,30880043.640655
277,1149833.253946
278,-17419699.250822
279,-3490213.299052
280,2892235.409224
281,49160066.402968
282,4946034.731006
283,-19898511.722193
284,-38121900.848704
285,14929420.765763
286,-17077343.127936
287,28278185.193074
288,-16908568.056929
289,-5809063.847164
290,6855751.678738
291,-35035965.973858
292,-3759592.786928
293,39580625.687161
294,8142805.957327
295,10376415.243222
296,13673347.377128
297,-33671173.793914
298,-6215714.663945
299,6793800.842224
300,9840617.293205
301,29690882.641493
302,-17069835.522977
303,-5494910.702057
304,-17644717.433057
305,18244943.949923
306,-17885827.820790
307,7554534.600411
308,-23726065.083706
309,26689730.810184
310,34043950.790667
311,13716514.235564
312,77708445.558601
313,-13378911.660708
314,21167888.678712
315,8783641.083602
316,-25243444.305258
317,9313601.709666
318,32051314.444185
319,11009832.731042
320,-12399589.966999
321,15722371.404690
322,23062580.995296
323,46814845.714162
324,-1023312.998497
325,10946702.054626
326,-61777947.094844
327,6573626.883774
328,-36633862.388528
329,-5079044.555619
330,19856600.673307
331,-13294541.814570
332,-27993919.137929
333,-14900609.780336
334,14825991.304554
335,24866745.795700
336,-4479982.581993
337,112606.403065
338,-10777104.836404
339,-38355046.105820
340,9666581.402597
341,-18582222.582173
342,-7300293.121547
343,-2043725.785450
344,-5040187.197187
345,44545566.405704
346,391050.270707
347,41702071.321232
348,21603857.138056
349,-20252145.662473
350,-30080154.598194
351,47820932.250708
352,-61705073.573909
353,-18663622.377059
354,-11980909.399179
355,37371735.654524
356,-13018691.027135
357,30018062.194338
358,29482170.028968
359,-19107183.635853
360,-13812444.764781
361,-24081415.043856
362,5250022.724245
363,24273424.677380
364,-28917728.188504
365,-676535.516201
366,9391089.229457
367,6647159.995582
368,8488717.698218
369,-3816661.799933
370,315053.227161
371,18984625.761319
372,20009443.333019
373,36359687.272776
374,24308116.047121
375,16548671.183562
376,-38838696.574498
377,-35532332.631346
378,-40152708.112634
379,2503246.890630
380,16065672.416523
381,15439806.642397
382,-15976801.876073
383,-18412664.349841
384,24522377.884667
385,43016742.837524
386,8165528.232692
387,39823519.517460
388,12549081.138188
389,13327911.869758
390,9036168.631390
391,19521048.376822
392,-38480003.819166
393,-3687496.417843
394,-13051603.288604
395,34241043.119366
396,-7950771.978843
397,17066424.440899
398,34151186.212689
399,21422599.413756
400,-34977361.628895
401,30946275.492744
402,6586258.689330
403,54692982.853205
404,8504136.630267
405,-21115131.559528
406,-21937679.860254
407,23719703.044473
408,31849768.150052
409,4180970.592891
410,62355663.680894
411,52196817.681997
412,-16859967.834502
413,-38070129.621762
414,-25174143.033999
415,50293871.902565
416,20633864.185904
417,-2420356.964576
418,-1285552.098364
419,-922508.209324
420,11835685.684536
421,3898549.867360
422,-21741397.692995
423,-541576.950355
424,-151809.545956
425,-474541.941710
426,12885849.747347
427,28878462.818915
428,4306473.406695
429,-40972901.297705
430,-7563518.372257
431,21831223.332165
432,-14181289.689821
433,-45939500.301162
434,-18709373.492797
435,-850713.928844
436,6608075.926268
437,25559329.161274
438,-50262637.624570
439,49132652.690479
440,18376299.716101
441,269234.637655
442,42872474.461795
443,32455585.900303
444,46365881.800695
445,42393730.979828
446,-23823282.623000
447,8445631.864290
448,29489918.226118
449,-15982742.568503
450,-7049299.064914
451,2540596.243371
452,-4285497.594357
453,589934.728271
454,-30685729.831488
455,48829202.846666
456,-76358700.929253
457,-43663608.767622
458,90765095.391983
459,24798772.096680
460,33208267.600608
461,61361955.321939
462,-24858711.619475
463,-42458138.009956
464,5528063.156627
465,-33202619.671018
466,2066222.977446
467,-15923466.488310
468,5377160.864337
469,-44820837.361630
470,-22907929.844417
471,36800390.743302
472,-39636553.992025
473,-37542243.536230
474,-9383243.906404
475,72185718.176069
476,15070655.030248
477,30789149.173113
478,77765351.323191
479,38234809.002268
480,10780833.380166
481,9516701.577924
482,-12635882.361604
483,40809071.101800
484,-3819561.334768
485,-7245583.036891
486,-5371716.085122
487,11442532.714843
488,-25343405.269789
489,-9971203.728874
490,34669044.267629
491,11450305.626837
492,54696583.151865
493,-1659039.021380
494,-32129136.482406
495,-1191544.955629
496,-767561.682849
497,-43358503.126467
498,-19538114.671912
499,10050903.927562
500,-45574430.913258
501,15542592.778547
502,3093827.874785
503,34756658.668910
504,1428749.730890
505,22972395.476525
506,-47285786.109189
507,4557178.715873
508,869604.874327
509,17519885.776453
510,8399007.796930
511,31613095.914157
512,15148065.132201
513,38455212.160538
514,6373322.556064
515,-54707278.182837
516,41792094.868324
517,-15807411.397232
518,20793064.717614
519,-15413958.124289
520,-6656710.601419
521,48135267.290043
522,16507444.753592
523,27182534.176522
524,-18730093.645638
525,-219075.435575
526,-35282337.133275
527,-3349458.337200
528,-9570384.139402
529,-20644849.871715
530,9039670.700271
531,-762478.086566
532,26445062.951712
533,-30261873.505360
534,-21666614.128912
535,-9423445.752553
536,6910883.007139
537,32190494.559197
538,-57867012.696148
539,23398053.239400
540,-3235398.443089
541,19753249.080794
542,-5026269.984575
543,37622538.723977
544,-10628527.104260
545,21075055.959066
546,697255.202747
547,26360710.986776
548,-14918053.365129
549,-24478967.008829
550,15951412.978927
551,42615383.201944
552,9362408.883117
553,7691261.916774
554,5019781.010853
555,-26487100.196270
556,-28352887.506322
557,42121748.644559
558,6549635.667497
559,-22894333.762134
560,-10375987.691289
561,18706276.110760
562,1807420.275013
563,-14452270.171631
564,-1770849.718263
565,23771078.829118
566,14452178.583663
567,-22368657.847529
568,11005782.510269
569,-20405016.299841
570,-44196582.092199
571,-21613570.520499
572,-2152916.170761
573,65154387.827273
574,14384049.522480
575,15535308.195388
576,12169052.743864
577,24669000.197789
